server_label,server_hostname,srv_intf1,srv_intf2,leaf1_name,leaf1_srv_intf,leaf2_name,leaf2_srv_intf,lacp_mode,leaf_model,ct_name
eciem1e,eciem1e-10.8.66.1,eth0,eth1,ECC2DCDLE2,et-0/0/21,ECC2DCDLE4,et-0/0/21,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciem2e,eciem2e-10.8.66.2,eth0,eth1,ECC2DCDLE2,et-0/0/22,ECC2DCDLE4,et-0/0/22,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciem3e,eciem3e-10.8.66.3,eth0,eth1,ECC2DCDLE2,et-0/0/23,ECC2DCDLE4,et-0/0/23,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciem4e,eciem4e-10.8.66.4,eth0,eth1,ECC2DCDLE2,et-0/0/24,ECC2DCDLE4,et-0/0/24,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew10e,eciew10e-10.8.72.107,eth0,eth1,ECC2DCDLE2,et-0/0/9,ECC2DCDLE4,et-0/0/10,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew11e,eciew11e-10.8.72.19,eth0,eth1,ECC2DCDLE2,et-0/0/11,ECC2DCDLE4,et-0/0/12,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew12e,eciew12e-10.8.72.20,eth0,eth1,ECC2DCDLE2,et-0/0/10,ECC2DCDLE4,et-0/0/11,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew13e,eciew13e-10.8.72.21,eth0,eth1,ECC2DCDLE2,et-0/0/15,ECC2DCDLE4,et-0/0/13,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew14e,eciew14e-10.8.72.22,eth0,eth1,ECC2DCDLE2,et-0/0/12,ECC2DCDLE4,et-0/0/14,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew15e,eciew15e-10.8.72.23,eth0,eth1,ECC2DCDLE2,et-0/0/14,ECC2DCDLE4,et-0/0/15,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew16e,VM-eciew16e-10.8.72.24,eth0,eth1,ECC2DCDLE2,et-0/0/16,ECC2DCDLE4,et-0/0/16,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew17e,VM-eciew17e-10.8.72.25,eth0,eth1,ECC2DCDLE2,et-0/0/17,ECC2DCDLE4,et-0/0/17,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew18e,VM-eciew18e-10.8.72.26,eth0,eth1,ECC2DCDLE2,et-0/0/18,ECC2DCDLE4,et-0/0/18,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew19e,eciew19e,eth0,eth1,ECC2DCDLE2,et-0/0/19,ECC2DCDLE4,et-0/0/19,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew1e,eciew1e-10.8.72.1,eth0,eth1,ECC2DCDLE2,et-0/0/1,ECC2DCDLE4,et-0/0/1,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew20e,VM-eciew20e-10.8.72.28,eth0,eth1,ECC2DCDLE2,et-0/0/20,ECC2DCDLE4,et-0/0/20,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew21e,VM-eciew21e-10.8.72.108,eth0,eth1,ECC2DCDLE2,et-0/0/31,ECC2DCDLE4,et-0/0/31,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew22e,VM-eciew22e-10.8.72.109,eth0,eth1,ECC2DCDLE2,et-0/0/32,ECC2DCDLE4,et-0/0/32,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew23e,VM-eciew23e-10.8.72.110,eth0,eth1,ECC2DCDLE2,et-0/0/33,ECC2DCDLE4,et-0/0/33,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
eciew24e,VM-eciew24e-10.8.72.111,eth0,eth1,ECC2DCDLE2,et-0/0/34,ECC2DCDLE4,et-0/0/34,none,q5120,VW_PROD_ECC_edge_vlans|VW_PROD_Leaf_infra_vlans
